E->2016-12-30 11:15:00,004 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:20:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:25:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:30:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:35:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:40:00,006 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:45:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:50:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 11:55:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:00:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:05:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:10:00,006 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:15:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:20:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:25:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:30:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:35:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:40:00,006 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:45:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:50:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 12:55:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:00:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:05:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:10:00,006 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:15:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:20:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:25:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:30:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:35:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:40:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:45:00,006 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:50:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 13:55:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:00:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:05:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:10:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:15:00,006 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:20:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:25:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
E->2016-12-30 14:30:00,005 INFO-ForceHbaseOnSwitch: true, HbaseOnSwitch: true, QueryBiModeSwitch: Async
